id,enabled,installdat,type,elevation,watertype,jointtype,material,diameter1,diameter2,rotation,modelid,comment,status,mfg,megalugmfg,megalugmdl,fitangle,surveyelev,globalid,creator,creationda,editdate,editor,newt,northing,easting,icon_url
"4129",Yes,,Coupling,4659.134,Potable,Gasket,PVC,"3","3","0",FIT3861,,Active,,,,,,4cf7fdd1-1a55-42a3-a086-f16e3842c909,lkoons,2019/02/13,2019/02/13,lkoons,,1419077.3560489,3285346.64093073,./0.png
"4130",Yes,,Coupling,4659.208,Potable,Gasket,PVC,"3","3","0",FIT3862,,Active,,,,,,72b1098a-6aca-4654-988c-4914f354918e,lkoons,2019/02/13,2019/02/13,lkoons,,1419077.27960548,3285349.39289372,./0.png
"4131",Yes,,Coupling,4865.311,Potable,Gasket,PVC,"3","3","0",FIT3863,,Retired,,,,,,f1834998-d0e4-43fc-a322-995111572a08,lkoons,2019/02/13,2019/02/13,lkoons,,1455774.63895339,3232242.34261197,./0.png
"4132",Yes,,Coupling,4865.397,Potable,Gasket,PVC,"3","3","0",FIT3864,,Retired,,,,,,5fe6b79c-b688-4e14-aa9f-4d5008ec8a58,lkoons,2019/02/13,2019/02/13,lkoons,,1455774.53331056,3232249.25007847,./0.png
"4133",Yes,,Tee,4865.341,Potable,Mechanical,DuctileIron,"3","3","180",FIT3865,,Retired,Tyler,Star,1500C,,,ed368d3a-6ff3-4bc7-9453-2998fbf764a2,lkoons,2019/02/13,2019/02/13,lkoons,,1455774.56710315,3232245.65559748,./0.png
"4134",Yes,,Saddle,4916.385,Potable,Other,Other,"4","1","0",FIT3866,,Active,,,,,,de29a478-187c-44b9-af19-9286576fbaf5,lkoons,2019/02/13,2019/02/13,lkoons,,1452431.60758172,3212517.83973822,./0.png
"4135",Yes,,Bend,4918.18,Potable,Flange,PVC,"16","16","0",FIT3867,,Active,,,,"45",,3a29011a-a4e8-4b44-a92e-82a8c8720042,lkoons,2019/02/13,2019/02/13,lkoons,,1437692.6219679,3185113.02053222,./0.png
"4136",Yes,,Bend,4952.19,Potable,Flange,PVC,"16","16","0",FIT3868,,Active,,,,"45",,437747b5-c5f2-4d6c-a808-7280f8f1dbb7,lkoons,2019/02/13,2019/02/13,lkoons,,1438079.20059106,3184743.62855446,./0.png
"4137",Yes,,Tee,4946.53,Potable,Mechanical,PVC,"20","20","180",FIT3869,,Active,,,,,,deb2db67-b27d-42a4-87b9-794309cd31d5,lkoons,2019/02/13,2019/02/13,lkoons,,1439502.49892557,3184719.08431222,./0.png
"4138",Yes,,Tee,0,Potable,Mechanical,PVC,"16","16","90",FIT3870,,Active,,,,,,aab73dba-d78f-4ef0-975e-1453d85b33bd,lkoons,2019/02/13,2019/02/13,lkoons,,1439495.16396648,3184718.80084822,./0.png
"4139",Yes,,Bend,0,Potable,Glue,PVC,"2","2","0",FIT3871,,Active,,,,"90",,3f13590f-6411-460f-820a-42da8f2bf6c6,lkoons,2019/02/13,2019/02/13,lkoons,,1424334.72217456,3215787.46476063,./0.png
"4140",Yes,,Tee,0,Potable,Mechanical,DuctileIron,"8","3","180",FIT3872,,Active,,,,,,3243bb7b-21ed-4e2f-8061-bca1b92aa4a1,lkoons,2019/02/13,2019/02/13,lkoons,,1434391.88381873,3253986.41690589,./0.png
"4141",Yes,,Tee,0,Potable,Mechanical,DuctileIron,"6","6","270",FIT3873,,Active,,,,,,048e3e49-44bf-40bd-bacb-bc30e9b18270,lkoons,2019/02/13,2019/02/13,lkoons,,1396796.40520406,3196015.63619414,./0.png
"4142",Yes,,Tee,0,Potable,Mechanical,DuctileIron,"6","6","270",FIT3874,,Active,,,,,,97818ad9-c8dd-4d1c-b381-975fbb39db61,lkoons,2019/02/13,2019/02/13,lkoons,,1396002.65088606,3196025.59811647,./0.png
"4143",Yes,,Tee,0,Potable,Mechanical,DuctileIron,"8","6","0",FIT3875,,Active,,,,,,f3e5853e-e356-4489-b382-42648885ec52,lkoons,2019/02/13,2019/02/13,lkoons,,1395978.11714248,3195962.17173414,./0.png
"4144",Yes,,Bend,0,Potable,Mechanical,DuctileIron,"6","6","0",FIT3876,,Active,,,,"90",,2b1e5046-113b-43a4-abef-afec7fa5cc28,lkoons,2019/02/13,2019/02/13,lkoons,,1395996.37104298,3195962.13662922,./0.png
"4145",Yes,,Saddle,4802.69,Potable,Other,Other,"10","1","0",FIT3877,,Active,,,,,,840c1292-d6fb-4281-8770-36edd88f86fc,lkoons,2019/02/13,2019/02/13,lkoons,,1439689.99034847,3258582.16690072,./0.png
"4146",Yes,,SolidSleeve,5168.352,Potable,Mechanical,DuctileIron,"8","8","0",FIT3878,,Active,Tyler,Star,1500C,,,cb12c29a-c833-4847-b01a-161109aa9a0d,lkoons,2019/02/13,2019/02/13,lkoons,,1458539.38014306,3162885.25265189,./0.png
"4147",Yes,,SolidSleeve,5168.338,Potable,Mechanical,DuctileIron,"8","8","0",FIT3879,,Active,Tyler,Star,1500C,,,6289caaa-d02a-4bde-b3f8-44b56d43b004,lkoons,2019/02/13,2019/02/13,lkoons,,1458540.71150522,3162888.84253973,./0.png
"4148",Yes,,Saddle,5168.309,Potable,Other,Other,"8","1","0",FIT3880,,Active,,,,,,05846dd1-df39-4dfd-a2fe-9d3672493d81,lkoons,2019/02/13,2019/02/13,lkoons,,1458540.07305506,3162887.29792339,./0.png
"4149",Yes,,Saddle,4702.072,Potable,Other,Other,"6","1","0",FIT3881,,Active,Romac,,,,,6fac822d-2415-4258-a8d0-44ecd826088d,lkoons,2019/02/13,2019/02/13,lkoons,,1411216.42163956,3207555.21186823,./0.png
"4150",Yes,,Bend,0,Potable,Other,AC,"6","6","0",FIT3882,,Active,,,,"45",,edb11059-4bf5-432c-9817-d99d93bacf31,lkoons,2019/02/13,2019/02/13,lkoons,,1411052.19132498,3207562.8676928,./0.png
"4151",Yes,,Bend,4769.287,Potable,Glue,PVC,"2","2","0",FIT3883,,Active,,,,"90",,aad2d29e-c3a5-43da-ba53-af6d044908be,lkoons,2019/02/13,2019/02/13,lkoons,,1424368.81987539,3214759.49929689,./0.png
"4152",Yes,2007/06/01,Reducer,5150.522,Potable,Mechanical,DuctileIron,"6","8","0",FIT3884,,Active,Star,Star,"3500",,,2c5ee882-16cf-4381-b1da-6ec42b1e5499,lkoons,2019/02/13,2019/02/13,lkoons,,1455325.47679397,3164414.30536805,./0.png
"4153",Yes,2007/06/01,Tee,5152.968,Potable,Mechanical,DuctileIron,"8","12","270",FIT3885,,Active,Star,Star,"3500",,,53bf4f96-2948-47b2-b456-2c566fe1b4dc,lkoons,2019/02/13,2019/02/13,lkoons,,1455326.71629281,3164517.27891539,./0.png
"4154",Yes,2007/06/01,Cap,5152.989,Potable,Mechanical,DuctileIron,"12",Unknown,"90",FIT3886,,Active,Star,Star,"3500",,,553c21a1-f5e4-49f4-9e5f-609c58b73c08,lkoons,2019/02/13,2019/02/13,lkoons,,1455308.32000415,3164517.52104089,./0.png
"4155",Yes,2007/06/01,Tee,5150.604,Potable,Mechanical,DuctileIron,"8","6","0",FIT3887,,Active,Star,Star,"3500",,,a665cfb6-5417-4196-8903-945cd82fde2d,lkoons,2019/02/13,2019/02/13,lkoons,,1455325.51288314,3164422.68363214,./0.png
"4156",Yes,2007/06/01,Saddle,5158.987,Potable,Other,PVC,"12","2","180",FIT3888,,Active,,,,,,3c5223b2-b131-46d1-9b94-71b9d1fa51a1,lkoons,2019/02/13,2019/02/13,lkoons,,1455433.5608954,3164518.43704955,./0.png
"4157",Yes,2007/06/01,Coupling,5158.847,Potable,Other,PVC,"2","2","180",FIT3889,,Active,,,,,,69b47f2f-87a2-4fbb-9d7f-7de330f68b77,lkoons,2019/02/13,2019/02/13,lkoons,,1455433.04350798,3164524.10173638,./0.png
"4158",Yes,2007/06/01,Bend,5158.852,Potable,Other,PVC,"2","2","0",FIT3890,,Active,,,,"90",,7d6ceeff-9642-48f2-9f85-1fa1c21630ee,lkoons,2019/02/13,2019/02/13,lkoons,,1455432.6314353,3164528.53381413,./0.png
