X,Y,id,enabled,installdat,type,elevation,watertype,diameter,comment,model,status,mfg,surveyelev,globalid,creationda,creator,editdate,editor,icon_url
-104.792056171141,40.6292712618073,ARV124,Yes,,Manual,5062.98,Potable,"1",,,Active,,,f49ac40d-48fc-410e-a66b-7e79c00377b5,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.792015582991,40.6644619145888,ARV125,Yes,,Manual,5159.22,Potable,"1",,,Active,,,d7ca937c-f71f-4465-806f-a85fc70d62cb,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.791965320875,40.6433755847759,ARV126,Yes,,Manual,5078.94,Potable,"1",,,Active,,,ad111eb9-dfe7-4c7c-9673-ec46bce8448f,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.802216959667,40.5529755969271,ARV127,Yes,,Manual,4925.83,Potable,"2.5",,,Active,,,a835c0d1-086b-422d-a8b0-745c665a23b4,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.792184862279,40.5531088477895,ARV128,Yes,,Manual,4945.94,Potable,"2",,,Active,,,db2b1e55-be3b-4ff8-839e-251c9711171c,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.695968523377,40.6114559443081,ARV129,Yes,,Manual,4949.92,Potable,Unknown,,,Active,,,322b974d-f1f6-4a3c-8f20-c1af0218f373,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.83192052023,40.5891968599477,ARV130,Yes,,Manual,5151.59,Potable,"1",,,Active,,,1be41c36-f549-4ae2-bc5c-0ca04bed8489,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-105.075962263641,40.5933122729051,ARV131,Yes,,Manual,4972.5122,Potable,"1",,,Active,,,aaa43d7b-149d-4360-869c-452582016cdb,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-105.000681370634,40.5838831726111,ARV132,Yes,,Manual,4934.27,Potable,"1",,,Active,,,35f50ed7-cb8a-485a-a897-39227ef572d4,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.532299536734,40.4137925241343,ARV133,Yes,,Manual,4616.41,Potable,"2.5",,,Active,,,e06bc1cd-105a-47bb-89e3-d8ddcdcaccd4,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-105.056940261582,40.5888858198152,ARV134,Yes,,Manual,4937.26,Potable,"1",,,Active,,,feba67cf-cb57-4335-b37c-a670f5d3c695,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-105.069587625003,40.5927375923761,ARV135,Yes,,Manual,4955.58,Potable,"1",,,Active,,,aabb3e73-4cbf-4b76-96ae-007fea91232f,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-105.02606377641,40.5814909746023,ARV136,Yes,,Manual,0,Potable,"1",,,Active,,,c177f612-15b6-44ea-a074-db656fb70189,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.678147848189,40.4669375237525,ARV137,Yes,,Auto,0,Potable,"1",,,Active,,,3636f5ed-ffb4-4572-bd82-28e66faef796,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.773446682441,40.6005756286893,ARV138,Yes,,Manual,4985.39,Potable,"1",,,Active,,,a0780abc-b420-40f1-aa1f-bf755967950c,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.769264809272,40.597155136688,ARV139,Yes,,Manual,4979.86,Potable,"1",,,Active,,,d5f021f2-5efd-4743-aa0d-16997e3268f7,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
